,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
25,,No,Travel_Rarely,1282,Research & Development,,,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,,,No,,,4,80,1,26,3,2,14,13,4,8
26,32,Yes,Travel_Frequently,1125,Research & Development,16,1,,1,,2,Female,72,1,1,Research Scientist,,Single,3919,4681,,,Yes,22,4,2,80,0,10,5,3,10,2,,
27,42,No,Travel_Rarely,,Sales,8,4,Marketing,1,35,3,Male,,3,,Sales Executive,2,,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,,,2
28,44,No,,477,Research & Development,7,,,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,,,80,1,,4,3,22,6,5,
29,46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,,1,Single,18947,,3,,No,12,3,,80,,,,2,2,2,2,1
30,,No,Travel_Rarely,924,Research & Development,,3,,1,39,,Male,,3,1,,4,Single,2496,6670,4,Y,No,11,3,4,,,7,,,1,1,0,0
31,44,No,Travel_Rarely,,Research & Development,10,4,,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,,2,Y,Yes,13,3,4,,0,9,5,4,4,,1,3
32,30,No,Travel_Rarely,125,Research & Development,9,,Medical,,,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,,,5,3,,0,1,8
33,39,Yes,Travel_Rarely,,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,,4,Married,2086,3335,3,Y,No,14,,,80,1,,6,,1,0,0,0
34,24,Yes,,813,Research & Development,1,,Medical,1,45,2,,61,3,1,,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,,,2,0,,
35,,No,Travel_Rarely,1273,Research & Development,2,,Medical,1,46,,Female,,4,1,Research Scientist,3,Divorced,2645,21923,,Y,No,12,,4,80,2,6,,2,5,3,1,
36,50,Yes,Travel_Rarely,,Sales,,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,,Y,,,3,3,80,0,3,2,3,3,,0,2
37,35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,,,No,13,3,1,80,0,2,3,3,,2,2,
38,,No,Travel_Rarely,852,Research & Development,5,4,,1,51,2,Female,82,2,1,,1,Married,3419,13072,9,Y,Yes,,3,4,80,,6,3,4,1,1,0,0
39,33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,,,,42,,,Sales Executive,1,Married,5376,3193,2,Y,No,19,,1,80,2,,3,3,5,3,1,3
40,35,No,Travel_Rarely,464,Research & Development,,2,Other,1,53,3,,,,,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,,3,3,80,1,,3,3,1,0,0,
41,,No,Travel_Rarely,1240,,,,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,,Divorced,,19715,1,Y,No,13,,4,80,1,1,6,3,1,0,0,
42,,Yes,Travel_Rarely,,Research & Development,25,3,Life Sciences,1,,1,,48,1,1,Laboratory Technician,3,Single,2293,10558,1,,No,12,3,3,80,0,1,2,2,1,,0,1
43,27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,,3,Single,8726,2975,,Y,No,,,4,,,9,0,3,,8,,7
44,30,No,,721,Research & Development,1,2,,1,,3,Female,58,3,,Laboratory Technician,4,,4011,,1,Y,No,,4,4,80,0,12,2,3,12,,,7
45,41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,,3,5,Research Director,,Married,19545,,,Y,No,12,3,4,80,0,23,0,,22,15,15,8
46,34,No,Non-Travel,1065,,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,,,20,,,80,,10,2,,9,5,8,7
47,37,No,,408,Research & Development,19,2,,1,,,Male,73,3,1,,2,Married,3022,10227,,,,21,4,1,80,,8,1,3,1,0,0,0
48,46,No,Travel_Frequently,,Sales,5,4,Marketing,1,62,1,Male,,3,2,Sales Executive,4,Single,,,4,Y,Yes,21,4,3,80,0,14,4,,9,6,0,8
49,35,No,,1229,Research & Development,8,1,,1,,4,,36,,1,Laboratory Technician,4,Married,,4892,1,Y,,19,3,4,80,0,1,2,3,1,0,0,1
50,48,Yes,Travel_Rarely,626,,,2,Life Sciences,1,64,1,Male,98,,3,Laboratory Technician,3,Single,,19294,9,,,13,3,4,80,0,23,2,3,1,0,0,0
51,,Yes,,1434,Research & Development,5,4,Technical Degree,1,,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,,Y,Yes,13,3,,,0,2,3,2,2,,2,2
52,,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,,75,3,,,,Divorced,5454,4009,5,Y,Yes,21,,,80,,,2,2,,3,1,3
53,,No,Non-Travel,1097,Research & Development,11,2,Medical,,70,,Male,79,,3,Healthcare Representative,1,Married,9884,,2,Y,Yes,,,,80,1,10,3,3,4,0,2,3
54,26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,,Y,Yes,19,3,,80,1,5,2,2,,2,0,0
55,,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,,4,Single,13458,15146,1,Y,,12,3,3,80,0,15,1,,15,14,,12
56,35,No,Travel_Frequently,853,,18,5,Life Sciences,1,74,,,71,3,,Sales Executive,1,Married,,11031,,Y,No,,,,80,1,9,,2,9,8,1,8
57,35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,,75,3,,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,,15,,,80,1,4,3,3,2,2,2,2
58,31,No,Travel_Rarely,655,,7,4,,1,76,4,Male,,3,2,Laboratory Technician,4,Divorced,,9528,3,Y,No,22,,4,80,1,,3,2,7,7,1,7
59,37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,,3,Divorced,5993,2689,1,,No,,3,,80,1,7,2,4,7,5,,7
60,32,No,Travel_Rarely,427,Research & Development,1,3,,,78,1,Male,33,,,Manufacturing Director,4,Married,,,,Y,Yes,22,,,,1,,3,3,9,8,7,8
61,,No,Travel_Frequently,653,,29,5,Life Sciences,,79,4,Female,50,,2,Laboratory Technician,4,Single,2406,5456,,Y,No,11,3,4,80,0,10,2,3,10,3,9,9
62,50,No,Travel_Rarely,989,,,2,Medical,1,80,2,Female,43,2,5,Research Director,,Divorced,18740,,,Y,Yes,12,3,,80,1,29,,2,27,3,13,8
63,59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,,81,1,Female,99,,3,,1,,,2354,7,Y,No,11,3,4,,,,3,2,21,16,7,
64,36,No,,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,,3,3,Healthcare Representative,3,Divorced,,8202,1,Y,No,13,3,2,,3,17,,3,17,14,,
65,55,No,Travel_Rarely,836,Research & Development,,3,,1,84,4,Female,33,3,,Manager,3,Divorced,,19730,2,Y,Yes,,3,3,,3,21,2,3,5,0,0,2
66,36,No,,1195,Research & Development,,3,Life Sciences,1,,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,,3,,80,0,6,3,,,5,0,3
67,,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,,,,,2,Y,No,17,3,3,80,1,,,3,,0,0,
68,,No,Travel_Frequently,,Research & Development,1,,,1,88,,Male,79,3,1,Research Scientist,1,Married,2194,,4,Y,,13,3,4,80,1,,2,2,,2,1,2
69,36,Yes,,318,Research & Development,9,3,,,,4,,79,2,,Research Scientist,3,,,21777,0,Y,Yes,17,3,1,,1,2,,2,1,,0,0
70,59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,,Sales Executive,,Single,5473,24668,7,Y,No,11,3,,80,,20,2,2,4,3,1,3
71,29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,,3,Male,,3,1,Research Scientist,2,Married,,,0,Y,No,23,4,,80,1,6,,3,5,,,4
72,31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,2501,,1,,No,17,3,2,80,,1,4,3,1,1,1,
73,32,No,Travel_Rarely,548,Research & Development,1,3,,1,96,,,66,3,2,Research Scientist,2,,6220,,1,Y,No,17,,2,80,,10,,3,10,4,0,9
74,36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,,4,1,Laboratory Technician,4,Married,,22002,3,Y,No,,3,,,0,5,3,3,,0,0,0
75,31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,,4424,20682,,,No,23,4,4,,0,11,2,3,11,7,1,8
76,,No,Travel_Rarely,776,,,4,,,100,3,Male,32,2,,,,Single,4312,23016,,,No,14,3,2,80,0,16,2,3,,13,2,
77,45,No,Travel_Rarely,193,Research & Development,6,4,,1,101,,,52,,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,,0,17,3,4,,0,0,0
78,37,No,Travel_Rarely,397,Research & Development,7,4,Medical,,102,1,Male,30,,3,Research Director,,,13664,25258,4,,No,13,3,1,80,,16,,,5,2,0,2
79,46,No,Travel_Rarely,,Human Resources,5,2,Medical,1,,,Male,80,3,2,Human Resources,2,Divorced,,,,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
80,30,No,Travel_Rarely,852,Research & Development,1,1,,1,104,4,Male,55,2,,,4,Married,,15998,1,Y,Yes,12,3,3,,2,10,1,2,10,8,3,0
81,35,No,,1214,Research & Development,1,,Medical,1,,2,Male,30,2,1,Research Scientist,3,Single,2859,,1,Y,No,18,,1,,0,,,3,6,,0,
82,55,No,,111,,,2,,1,,1,Male,70,,3,Sales Executive,4,Married,10239,18092,3,Y,,14,3,4,,1,24,4,3,1,,1,0
83,38,No,Non-Travel,,Research & Development,6,3,Medical,1,107,2,,,1,2,Research Scientist,4,,5329,15717,7,Y,Yes,,,4,80,,17,3,,13,11,,9
84,34,No,,1153,Research & Development,1,2,Medical,1,110,1,,94,,2,Manufacturing Director,2,Married,,,1,Y,No,15,3,3,80,0,5,2,3,,2,1,3
85,56,No,Travel_Rarely,1400,,7,,Life Sciences,,112,4,,49,,3,Manufacturing Director,4,,7260,21698,4,,,,3,1,80,0,,3,2,6,,0,2
86,23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,,Male,62,3,1,,,,2322,,3,Y,No,,,3,,,3,3,3,0,0,0,0
87,,No,Travel_Rarely,432,Research & Development,,4,Life Sciences,1,116,4,Male,96,3,,Laboratory Technician,4,Married,2075,18725,3,Y,No,23,4,2,80,,,4,,4,2,0,3
88,30,No,Travel_Rarely,288,Research & Development,2,3,,1,,3,Male,99,,,,,,,15830,1,Y,No,19,3,1,80,3,11,,,,10,10,8
89,,Yes,Travel_Rarely,669,Sales,9,2,,1,118,3,,,2,3,Sales Executive,4,Single,9619,,1,Y,No,16,3,4,80,,,3,3,9,8,4,7
90,40,No,Travel_Frequently,530,,,4,Life Sciences,1,119,3,,78,2,4,Healthcare Representative,,,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11
91,,No,Travel_Rarely,632,Sales,21,4,Marketing,,120,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,,7,1,0
92,30,No,,,Sales,4,2,Medical,,121,3,Female,63,2,2,,,Divorced,5209,19760,1,Y,,12,3,,80,3,,4,2,11,8,2,7
93,46,No,Travel_Frequently,638,Research & Development,1,3,,1,124,3,Male,,2,3,Healthcare Representative,1,,,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,,
94,32,No,Travel_Rarely,,Sales,6,4,Medical,,,2,Male,87,3,2,,3,Single,5010,24301,1,Y,,16,3,1,80,,12,,3,11,8,5,
95,54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,,1,Female,60,3,,Research Director,3,Married,,24001,9,Y,No,12,,1,80,1,16,5,1,4,3,0,3
96,,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,,2,,3,Married,4999,,0,Y,No,21,4,1,80,1,4,,,3,2,0,2
97,28,No,Non-Travel,120,Sales,4,,Medical,1,129,,Male,43,3,2,,3,Married,4221,8863,1,Y,No,15,,2,,0,5,3,4,5,,0,4
98,58,No,Travel_Rarely,,,,4,Medical,,,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,3,80,0,,1,,37,10,1,8
99,,No,Non-Travel,489,Research & Development,23,3,,1,,2,Male,67,3,,Laboratory Technician,2,Married,,25043,,,No,,3,3,80,,17,,4,3,2,,2
100,37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,,Male,63,,,Human Resources,,Divorced,,23648,4,Y,Yes,,,4,80,0,7,3,3,3,2,0,2
101,,No,,,Research & Development,1,1,Life Sciences,1,134,,Male,71,3,1,Research Scientist,,Single,2956,15178,1,Y,No,13,3,4,80,0,,2,3,1,0,0,0
102,20,Yes,Travel_Frequently,871,Research & Development,,3,,,137,4,Female,66,2,,Laboratory Technician,4,Single,2926,19783,1,,Yes,,,2,80,0,1,,,1,,1,
103,34,No,Travel_Rarely,665,Research & Development,6,4,,1,,,,,3,2,,3,Single,4809,12482,1,Y,,,3,3,,0,16,3,3,16,13,2,10
104,37,No,Non-Travel,1040,,2,2,Life Sciences,1,,3,Male,100,2,2,Healthcare Representative,,,5163,15850,,Y,No,,3,4,80,,17,2,4,1,,0,0
105,,No,,,Human Resources,2,4,Human Resources,,140,3,Female,,2,5,Manager,,Married,18844,21922,9,,No,,4,4,80,1,30,3,,3,2,2,2
106,50,No,Travel_Frequently,,Research & Development,1,3,Life Sciences,,141,1,Female,73,3,5,,2,Married,18172,9755,3,Y,Yes,19,3,1,80,0,28,,2,8,3,0,7
107,25,Yes,Travel_Rarely,,Sales,5,3,Marketing,1,142,,Male,46,2,2,Sales Executive,,Single,,,1,Y,Yes,,3,4,80,,6,1,,6,4,,3
108,,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,,2889,26897,1,,No,,3,3,80,2,,2,,2,2,2,
109,22,No,Travel_Rarely,534,Research & Development,15,3,Medical,,,2,Female,59,3,1,Laboratory Technician,,Single,,23785,1,Y,No,15,3,3,80,0,1,5,,0,0,0,0
110,,No,Travel_Frequently,1456,Research & Development,1,4,Medical,,145,,Female,,2,3,Healthcare Representative,1,Single,7484,25796,3,Y,,20,,3,80,0,23,1,2,,,12,8
111,34,Yes,Travel_Frequently,,Research & Development,7,,Life Sciences,1,147,1,Male,,1,2,Laboratory Technician,3,Single,6074,22887,1,Y,Yes,24,4,,80,0,9,3,,9,7,,6
112,54,No,Non-Travel,142,,26,3,Human Resources,,,4,Female,30,4,,Manager,4,Single,17328,13871,,Y,Yes,12,3,3,,0,23,3,3,5,3,4,4
113,,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,,Male,52,3,1,,3,,2774,13257,0,Y,No,12,3,3,80,,6,2,3,5,3,1,
114,34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,,3,Female,45,2,2,Research Scientist,,Divorced,4505,15000,6,Y,No,,3,,,1,,,3,1,0,,0
115,37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152,3,Male,87,3,3,Sales Executive,4,Single,,14506,2,Y,No,12,3,,80,0,12,3,3,5,,,3
116,34,No,Travel_Rarely,1354,Research & Development,5,,Medical,1,153,3,Female,,2,3,,1,Single,11631,5615,2,Y,No,12,3,,80,0,14,6,3,11,10,5,
117,36,No,Travel_Frequently,1467,,11,2,Technical Degree,1,154,2,Female,92,,3,Sales Executive,4,Married,9738,22952,,Y,,,3,3,80,1,10,6,,,7,2,8
118,36,No,,,Research & Development,3,2,Life Sciences,1,,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,No,22,4,1,80,1,7,2,,1,0,0,0
119,43,No,Travel_Frequently,,Sales,26,2,Life Sciences,1,158,3,Male,92,3,4,Manager,4,Married,16959,19494,1,Y,Yes,12,3,,,2,25,,,25,12,,
120,30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,159,1,Male,96,1,1,Research Scientist,3,Divorced,2613,22310,1,Y,No,,4,,80,,10,,2,10,7,0,
121,33,No,Non-Travel,750,Sales,22,2,Marketing,,,3,,95,3,,Sales Executive,2,Married,,15480,0,Y,No,13,3,1,,1,8,2,,7,7,0,7
122,56,Yes,Travel_Rarely,441,Research & Development,14,,Life Sciences,1,161,2,,72,3,1,,2,Married,,4510,9,Y,Yes,,3,1,,3,7,2,3,5,4,4,
123,51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162,1,Male,51,,5,Research Director,3,,19537,6462,7,,No,13,3,3,80,0,23,,3,,18,15,15
124,31,Yes,Travel_Rarely,,,6,4,Life Sciences,1,163,2,Male,,,2,Sales Executive,3,Married,,,4,Y,Yes,18,,2,80,0,12,3,2,7,7,7,7
125,26,No,Travel_Rarely,841,Research & Development,6,3,Other,1,164,,Female,,2,1,Research Scientist,2,Married,2368,23300,1,Y,No,,3,3,80,0,5,3,2,5,4,4,3
126,58,Yes,Travel_Rarely,147,Research & Development,23,4,,1,,,Female,94,,3,Healthcare Representative,4,Married,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,,10,,6
127,19,Yes,Travel_Rarely,528,,22,1,Marketing,1,167,4,Male,50,3,1,,3,Single,1675,26820,1,Y,Yes,,3,,80,0,,2,2,0,0,0,0
128,22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,169,,Male,100,3,1,Laboratory Technician,4,Married,2523,19299,,Y,,14,3,3,80,1,,2,,,,2,1
129,49,No,Travel_Rarely,470,Research & Development,20,4,Medical,,170,,Female,96,3,2,Manufacturing Director,1,Married,6567,5549,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11
130,43,No,Travel_Frequently,957,Research & Development,28,3,Medical,1,171,2,Female,72,,,,3,Single,4739,16090,4,,No,12,3,4,80,0,18,2,,,2,,2
131,50,No,Travel_Frequently,809,,12,3,Marketing,1,174,3,Female,,3,3,Sales Executive,4,Single,9208,6645,4,,No,11,3,4,,0,16,3,3,2,2,2,
132,31,Yes,Travel_Rarely,542,,20,,,1,175,2,Female,71,1,2,Sales Executive,3,,4559,24788,,Y,Yes,11,3,3,80,1,4,2,3,,,2,2
133,41,No,Travel_Rarely,,Sales,9,1,Life Sciences,,176,3,Male,,3,3,Sales Executive,,Divorced,8189,21196,3,Y,,13,3,3,80,1,12,,3,9,7,0,7
134,26,No,Travel_Rarely,,Human Resources,25,1,Life Sciences,1,,3,Female,61,3,,,3,Married,2942,8916,1,,No,23,4,4,80,1,8,3,3,8,,,7
135,36,No,Travel_Rarely,216,Research & Development,,2,Medical,1,,2,,84,3,2,Manufacturing Director,2,,4941,2819,6,Y,No,,4,4,80,,7,0,3,,2,0,1
136,51,Yes,,1150,Research & Development,8,,Life Sciences,1,179,1,,,1,,Manufacturing Director,4,Single,10650,,2,,,15,3,4,80,0,18,2,,,2,0,3
137,39,No,,1329,,,4,Life Sciences,1,,4,Female,47,2,2,Sales Executive,3,Married,5902,14590,4,Y,No,14,3,,80,1,17,1,,15,,5,
138,25,No,,959,Sales,,,Life Sciences,1,183,1,,41,2,2,Sales Executive,3,Married,8639,24835,,Y,No,,3,4,80,,,3,3,2,,2,2
139,,No,,,Human Resources,9,3,Human Resources,1,184,3,Male,48,3,2,Human Resources,4,,6347,13982,,Y,,19,,4,80,0,12,,1,11,,4,7
140,32,Yes,Travel_Rarely,,Research & Development,9,,Medical,1,190,,,41,3,1,Laboratory Technician,1,Single,4200,10224,7,Y,No,22,4,,80,0,10,2,4,5,4,0,4
141,45,No,Travel_Rarely,,Research & Development,29,3,Medical,,192,3,Male,83,3,,Research Scientist,4,Single,3452,,5,Y,No,13,3,2,80,0,,2,2,6,5,,3
142,,No,Travel_Rarely,364,,3,5,Technical Degree,1,193,4,Female,32,3,2,Research Scientist,3,Single,4317,2302,3,Y,Yes,20,4,2,80,0,,,3,,2,2,2
143,30,No,Travel_Rarely,438,Research & Development,18,,Life Sciences,,194,1,Female,75,3,1,Research Scientist,3,Single,2632,23910,1,,,14,3,3,80,0,,4,,5,4,0,
144,32,No,Travel_Frequently,,Sales,9,,Medical,1,195,4,,35,,2,Sales Executive,4,Divorced,4668,22812,0,Y,No,,3,4,80,3,9,,4,,7,,7
145,,No,,201,,5,,Technical Degree,1,197,4,,84,,1,Research Scientist,1,Divorced,3204,10415,5,Y,No,14,,4,80,,8,3,3,3,2,,2
146,30,No,Travel_Rarely,1427,,2,1,,,198,2,,35,2,,Laboratory Technician,4,Single,2720,11162,0,Y,,13,3,4,80,0,6,3,3,5,3,1,2
147,41,No,Travel_Frequently,,,10,3,,1,199,4,,91,,,Manager,1,Divorced,17181,12888,4,Y,No,13,3,2,80,1,21,2,2,7,,7,7
148,41,No,Travel_Rarely,933,Research & Development,9,4,Life Sciences,1,200,3,Male,94,3,1,Laboratory Technician,1,,2238,,2,,,21,4,,80,1,7,2,3,,,1,4
149,,No,,1181,Research & Development,,1,,1,,,Female,79,3,1,Laboratory Technician,2,Single,1483,16102,1,,No,14,3,4,,,,3,3,,,0,0
150,,No,,1395,Research & Development,26,3,Medical,1,202,2,Female,54,3,,Research Scientist,2,Divorced,,8504,,,No,11,3,,80,1,20,2,3,20,7,2,13
151,35,No,Travel_Rarely,662,,,5,Marketing,1,204,,Male,94,3,3,Sales Executive,,Married,7295,,1,Y,No,13,3,1,,2,10,,3,10,,0,
152,53,No,Travel_Rarely,,Sales,6,2,,1,205,2,Male,,3,2,Sales Representative,3,Married,2306,16047,2,Y,Yes,20,4,4,80,1,13,3,,7,,4,5
153,,No,Travel_Rarely,,Research & Development,9,3,Life Sciences,1,206,,Male,60,3,2,Laboratory Technician,2,Divorced,2348,10901,,Y,,18,3,3,,1,20,,1,17,9,0,15
154,32,No,Travel_Frequently,967,Sales,,3,Marketing,1,207,2,Female,43,3,,Sales Executive,4,,8998,15589,1,Y,No,,3,4,80,0,9,2,3,9,8,3,7
155,29,No,Non-Travel,1496,Research & Development,1,1,Technical Degree,1,208,4,Male,,3,2,Manufacturing Director,3,Married,,26283,1,Y,No,,3,,80,1,10,1,3,10,7,0,9
